,Food,Size,Calories,Fat,Carbs,Fiber,Protein,Sodium, 
482,,Tall,300,14,34,0,9,120,
483,,Grande,380,18,44,0,11,150,
484,,Venti,470,21,55,0,15,190,
485,Espresso,Doppio,10,0,2,0,1,0,
486,,Tripple,15,0,3,0,2,0,
487,,Quad,20,0,4,0,2,0,
488,Espresso Con Panna,Doppio,35,2.5,3,0,1,0,
489,,Tripple,40,2.5,4,0,1,0,
490,,Quad,50,2.5,5,0,2,0,
491,Espresso Con Panna w/ Whipped Cream,Solo,30,2.5,2,0,0,0,
492,,Doppio,35,2.5,3,0,1,0,
493,,Tripple,40,2.5,4,0,1,0,
494,,Quad,50,2.5,5,0,2,0,
